SoftSensConf_Version:1.0.0.0;DateTime_Logging: 30/03/2021 | 16:11:48
DeviceName;LRV;URV;ALARM-L;ALARM-H;DateTimeOfConfig
C385IT001;0.0;500.0;40;440;30/03/2021 | 16:11:09
C385IT001;0.0;500.0;40;440;30/03/2021 | 16:11:48
